Player,Team,Goals
Alfie May,Charlton Athletic,23
Colby Bishop,Portsmouth,21
Devante Cole,Barnsley,18
Jamie Reid,Stevenage,17
Dion Charles,Bolton Wanderers,16
Chris Martin,Bristol Rovers,16
Sam Hoskins,Northampton Town,15
Ephron Mason-Clarke,Peterborough United,15
Jordan Rhodes,Blackpool,15
Sam Smith,Reading,15
James Collins,Derby County,14
Cameron Brannagan,Oxford United,13
Paddy Lane,Portsmouth,12
John McAtee,Barnsley,12
Adam Phillips,Barnsley,12
Harvey Knibbs,Reading,11
Luke Leahy,Wycombe Wanderers,11
J. Randall,Peterborough United,11
Liam Sercombe,Cheltenham Town,11
Ruel Sotiriou,Leyton Orient,11
Victor Adeboyejo,Bolton Wanderers,10
Gassan Ahadme,Cambridge United,10
Ben Garrity,Port Vale,10
Ricky Jade-Jones,Peterborough United,10
Herbie Kane,Barnsley,10
Kwame Poku,Peterborough United,10
Joseph Taylor,Lincoln City,10
Daniel Udoh,Shrewsbury Town,10
Lewis Wing,Reading,10
Kieron Bowie,Northampton Town,9
Ethan Chislett,Port Vale,9
Jonson Clarke-Harris,Peterborough United,9
Lewis Collins,Bolton Wanderers,9
Shaqai Forde,Leyton Orient,9
Stephen Humphrys,Wigan Athletic,9
Nathaniel Mendez-Laing,Derby County,9
Rúben Rodrigues,Oxford United,9
Jayden Stockley,Fleetwood Town,9
Kusini Yengi,Portsmouth,9
Thelo Aasgaard,Wigan Athletic,8
Femi Azeez,Reading,8
Karamoko Dembele,Blackpool,8
Tyler Goodrham,Oxford United,8
Hector Kyprianou,Peterborough United,8
Edmond-Paris Maghoma,Bolton Wanderers,8
Daniel Mandroiu,Lincoln City,8
Josh Murphy,Oxford United,8
Corey Taylor,Charlton Athletic,8
Jake Beesley,Blackpool,7
Jordan Gibson,Carlisle United,7
Reeco Hackett-Fairchild,Lincoln City,7
Josh Magennis,Wigan Athletic,7
Mitchell Pinnock,Northampton Town,7
Matty Taylor,Cheltenham Town,7
Martyn Waghorn,Derby County,7
Charlie Wyke,Wigan Athletic,7
Louis Appere,Northampton Town,6
Tom Barkhuizen,Derby County,6
Max Bird,Derby County,6
Harrison Burrows,Peterborough United,6
Reece Cole,Exeter City,6
Sam Cosgrove,Barnsley,6
Antony Evans,Bristol Rovers,6
Will Goodwin,Cheltenham Town,6
Kane Hemmings,Stevenage,6
Daniel Kanu,Charlton Athletic,6
Josh Knight,Peterborough United,6
Greg Leigh,Oxford United,6
Mohammed Olabosun Lawal,Fleetwood Town,6
Promise Omochere,Fleetwood Town,6
Jordan Roberts,Stevenage,6
Jordan Shipley,Shrewsbury Town,6
George Thomason,Bolton Wanderers,6
Daniel Agyei,Leyton Orient,5
Billy Bodin,Oxford United,5
Ciaron Brown,Oxford United,5
Sonny Carey,Blackpool,5
Sonny Cox,Exeter City,5
Mark Helm,Burton Albion,5
Conor Hourihane,Derby County,5
