Player,Team,Goals,FirstName,Surname,WorksheetFound,TeamFromPlayersList
Darnell Furlong,West Bromwich Albion,5,Darnell,Furlong,DEF,West Brom
Sam Greenwood,Middlesbrough,5,Sam,Greenwood,MID,Preston
Jordan Hugill,Rotherham United,5,Jordan,Hugill,FWD,Rotherham
Kelechi Iheanacho,Leicester City,5,Kelechi,Iheanacho,,
Edo Kayembe,Watford,5,Edo,Kayembe,MID,Watford
Matheus Martins,Watford,5,Matheus,Martins,,
Liam Millar,Preston North End,5,Liam,Millar,,
Kevin Nisbet,Millwall,5,Kevin,Nisbet,FWD,Millwall
Jack Rudoni,Huddersfield Town,5,Jack,Rudoni,MID,Coventry
Arnor Sigursson,Blackburn Rovers,5,Arnor,Sigursson,,
