Player,Team,Goals,FirstName,Surname,WorksheetFound,TeamFromPlayersList
Harry Beautyman,Sutton United,5,Harry,Beautyman,,
Hiram Boateng,Mansfield Town,5,Hiram,Boateng,MID,Mansfield
Andy Cannon,Wrexham,5,Andy,Cannon,,
Baily Cargill,Mansfield Town,5,Baily,Cargill,DEF,Mansfield
Harry Charsley,Newport County,5,Harry,Charsley,,
Ronan Curtis,AFC Wimbledon,5,Ronan,Curtis,MID,Port Vale
Timothee Dieng,Gillingham,5,Timothee,Dieng,MID,Gillingham
Mohamed Eisa,Milton Keynes Dons,5,Mohamed,Eisa,FWD,MK Dons
Regan Hendry,Tranmere Rovers,5,Regan,Hendry,MID,Tranmere
Rushian Hepburn-Murphy,Swindon Town,5,Rushian,Hepburn-Murphy,FWD,Crawley
Alassana Jatta,Notts County,5,Alassana,Jatta,FWD,Notts Co
