Player,Team,Goals,FirstName,Surname,WorksheetFound,TeamFromPlayersList
Alfie May,Charlton Athletic,23,Alfie,May,FWD,Birmingham
Colby Bishop,Portsmouth,21,Colby,Bishop,FWD,Portsmouth
Devante Cole,Barnsley,18,Devante,Cole,FWD,Barnsley
Jamie Reid,Stevenage,17,Jamie,Reid,FWD,Stevenage
Dion Charles,Bolton Wanderers,16,Dion,Charles,FWD,Bolton
Chris Martin,Bristol Rovers,16,Chris,Martin,FWD,Bristol Roversovers
Sam Hoskins,Northampton Town,15,Sam,Hoskins,FWD,Northampton
Ephron Mason-Clarke,Peterborough United,15,Ephron,Mason-Clarke,,
Jordan Rhodes,Blackpool,15,Jordan,Rhodes,FWD,Blackpool
Sam Smith,Reading,15,Sam,Smith,FWD,Reading
James Collins,Derby County,14,James,Collins,FWD,Derby
Cameron Brannagan,Oxford United,13,Cameron,Brannagan,MID,Oxford
Paddy Lane,Portsmouth,12,Paddy,Lane,FWD,Portsmouth
John McAtee,Barnsley,12,John,McAtee,FWD,Luton
Adam Phillips,Barnsley,12,Adam,Phillips,MID,Barnsley
Harvey Knibbs,Reading,11,Harvey,Knibbs,FWD,Reading
Luke Leahy,Wycombe Wanderers,11,Luke,Leahy,DEF,Wycombe
J. Randall,Peterborough United,11,J.,Randall,,
Liam Sercombe,Cheltenham Town,11,Liam,Sercombe,,
Ruel Sotiriou,Leyton Orient,11,Ruel,Sotiriou,FWD,Bristol Roversovers
Victor Adeboyejo,Bolton Wanderers,10,Victor,Adeboyejo,FWD,Bolton
Gassan Ahadme,Cambridge United,10,Gassan,Ahadme,FWD,Charlton
Ben Garrity,Port Vale,10,Ben,Garrity,MID,Port Vale
Ricky Jade-Jones,Peterborough United,10,Ricky,Jade-Jones,,
Herbie Kane,Barnsley,10,Herbie,Kane,MID,Huddersfield
Kwame Poku,Peterborough United,10,Kwame,Poku,MID,Peterborough
Joseph Taylor,Lincoln City,10,Joseph,Taylor,FWD,Luton
Daniel Udoh,Shrewsbury Town,10,Daniel,Udoh,,
Lewis Wing,Reading,10,Lewis,Wing,MID,Reading
Kieron Bowie,Northampton Town,9,Kieron,Bowie,,
Ethan Chislett,Port Vale,9,Ethan,Chislett,MID,Port Vale
Jonson Clarke-Harris,Peterborough United,9,Jonson,Clarke-Harris,FWD,Rotherham
Lewis Collins,Bolton Wanderers,9,Lewis,Collins,,
Shaqai Forde,Leyton Orient,9,Shaqai,Forde,,
Stephen Humphrys,Wigan Athletic,9,Stephen,Humphrys,FWD,Wigan
Nathaniel Mendez-Laing,Derby County,9,Nathaniel,Mendez-Laing,FWD,Derby
R�ben Rodrigues,Oxford United,9,R�ben,Rodrigues,,
Jayden Stockley,Fleetwood Town,9,Jayden,Stockley,FWD,Port Vale
Kusini Yengi,Portsmouth,9,Kusini,Yengi,FWD,Portsmouth
Thelo Aasgaard,Wigan Athletic,8,Thelo,Aasgaard,MID,Wigan
Femi Azeez,Reading,8,Femi,Azeez,FWD,Reading
Karamoko Dembele,Blackpool,8,Karamoko,Dembele,,
Tyler Goodrham,Oxford United,8,Tyler,Goodrham,FWD,Oxford
Hector Kyprianou,Peterborough United,8,Hector,Kyprianou,MID,Peterborough
Edmond-Paris Maghoma,Bolton Wanderers,8,Edmond-Paris,Maghoma,,
Daniel Mandroiu,Lincoln City,8,Daniel,Mandroiu,MID,Lincoln
Josh Murphy,Oxford United,8,Josh,Murphy,MID,Portsmouth
Corey Taylor,Charlton Athletic,8,Corey,Taylor,,
Jake Beesley,Blackpool,7,Jake,Beesley,FWD,Blackpool
Jordan Gibson,Carlisle United,7,Jordan,Gibson,MID,Doncaster
Reeco Hackett-Fairchild,Lincoln City,7,Reeco,Hackett-Fairchild,FWD,Lincoln
Josh Magennis,Wigan Athletic,7,Josh,Magennis,FWD,Exeter
Mitchell Pinnock,Northampton Town,7,Mitchell,Pinnock,MID,Northampton
Matty Taylor,Cheltenham Town,7,Matty,Taylor,FWD,Cheltenham
Martyn Waghorn,Derby County,7,Martyn,Waghorn,FWD,Derby
Charlie Wyke,Wigan Athletic,7,Charlie,Wyke,FWD,Carlisle
Louis Appere,Northampton Town,6,Louis,Appere,FWD,Stevenage
Tom Barkhuizen,Derby County,6,Tom,Barkhuizen,FWD,Derby
Max Bird,Derby County,6,Max,Bird,MID,Bristol City
Harrison Burrows,Peterborough United,6,Harrison,Burrows,MID,Peterborough
Reece Cole,Exeter City,6,Reece,Cole,MID,Exeter
Sam Cosgrove,Barnsley,6,Sam,Cosgrove,FWD,Barnsley
Antony Evans,Bristol Rovers,6,Antony,Evans,MID,Huddersfield
Will Goodwin,Cheltenham Town,6,Will,Goodwin,FWD,Oxford
Kane Hemmings,Stevenage,6,Kane,Hemmings,FWD,Crewe
Daniel Kanu,Charlton Athletic,6,Daniel,Kanu,FWD,Charlton
Josh Knight,Peterborough United,6,Josh,Knight,,
Greg Leigh,Oxford United,6,Greg,Leigh,MID,Oxford
Mohammed Olabosun Lawal,Fleetwood Town,6,Mohammed,Lawal,,
Promise Omochere,Fleetwood Town,6,Promise,Omochere,FWD,Fleetwood
Jordan Roberts,Stevenage,6,Jordan,Roberts,MID,Stevenage
